k,D,p,round,gamma
4,7,6,5,0.436662829792
4,7,6,6,0.489975979637
4,7,7,1,0.216065860055
4,7,7,2,0.351826050772
4,7,7,3,0.371640341232
4,7,7,4,0.383108266414
4,7,7,5,0.397738996713
4,7,7,6,0.432712995588
4,7,7,7,0.488140381672
4,7,8,1,0.208024129055
4,7,8,2,0.340800960807
4,7,8,3,0.359814641630
4,7,8,4,0.368470098829
4,7,8,5,0.376332506474
4,7,8,6,0.392005482389
4,7,8,7,0.430143217078
4,7,8,8,0.487121991542
4,7,9,1,0.201650987037
4,7,9,2,0.331819540465
4,7,9,3,0.349044558135
4,7,9,4,0.356985691113
4,7,9,5,0.362148652079
4,7,9,6,0.369136482767
4,7,9,7,0.385995625158
4,7,9,8,0.430287628476
4,7,9,9,0.490567462151
4,7,10,1,0.201505493166
4,7,10,2,0.331434094603
4,7,10,3,0.349271925884
4,7,10,4,0.357161745567
4,7,10,5,0.362407948311
4,7,10,6,0.368988045154
4,7,10,7,0.387792213759
4,7,10,8,0.426504719301
4,7,10,9,0.477807844717
4,7,10,10,0.493071218781
4,7,11,1,0.202539932794
4,7,11,2,0.329150683200
4,7,11,3,0.353222117958
4,7,11,4,0.352411200768
4,7,11,5,0.360270183042
4,7,11,6,0.372652811580
4,7,11,7,0.382171679039
4,7,11,8,0.427126168862
4,7,11,9,0.488574648773
4,7,11,10,0.503449864161
4,7,11,11,0.502304231192
4,7,12,1,0.192606742152
4,7,12,2,0.354324236512
4,7,12,3,0.312083946859
4,7,12,4,0.419479157621
4,7,12,5,0.444346451412
4,7,12,6,0.366275391038
4,7,12,7,0.413855959053
4,7,12,8,0.521341140985
4,7,12,9,0.488999799265
4,7,12,10,0.341583013830
4,7,12,11,0.515433885853
4,7,12,12,0.496165542495
4,7,13,1,0.192606742152
4,7,13,2,0.354324236512
4,7,13,3,0.312083946859
4,7,13,4,0.419479157621
4,7,13,5,0.444346451412
4,7,13,6,0.366275391038
4,7,13,7,0.413855959053
4,7,13,8,0.521341140985
4,7,13,9,0.488999799265
4,7,13,10,0.341583013830
4,7,13,11,0.515433885853
4,7,13,12,0.496165542495
4,7,13,13,0.496165542495
4,8,2,1,2.835515495794
4,8,2,2,2.661605999368
4,8,3,1,2.876877760058
4,8,3,2,2.725227248062
4,8,3,3,2.675422199273
4,8,4,1,2.901600746121
4,8,4,2,2.762927826850
4,8,4,3,2.728771152457
4,8,4,4,2.682857744546
4,8,5,1,2.918568170257
4,8,5,2,2.785855014409
4,8,5,3,2.763203437069
4,8,5,4,2.733935381284
4,8,5,5,2.687940889004
4,8,6,1,0.210747193670
4,8,6,2,0.339005179240
4,8,6,3,0.357795356647
4,8,6,4,0.373186695983
4,8,6,5,0.402434733232
4,8,6,6,0.450366401849
4,8,7,1,2.940296368521
4,8,7,2,2.815421417634
4,8,7,3,2.798250421941
4,8,7,4,2.788197297730
4,8,7,5,2.774941645230
4,8,7,6,2.742931849255
4,8,7,7,2.693302737479
4,8,8,1,2.947646759850
4,8,8,2,2.825529503951
4,8,8,3,2.809399355479
4,8,8,4,2.802018537502
4,8,8,5,2.794963074049
4,8,8,6,2.780331201477
4,8,8,7,2.745231522373
4,8,8,8,2.694513322401
4,8,9,1,2.953453460219
4,8,9,2,2.830473509914
4,8,9,3,2.813943999959
4,8,9,4,2.807908893518
4,8,9,5,2.803163403852
