k,D,p,round,beta
5,6,3,2,1.382937629780
5,6,3,3,1.444730339463
5,6,4,1,0.228613469655
5,6,4,2,0.192592837658
5,6,4,3,0.174306506629
5,6,4,4,0.111261264805
5,6,5,1,0.225555849248
5,6,5,2,0.191359134224
5,6,5,3,0.181098635349
5,6,5,4,0.165724181842
5,6,5,5,0.100233966428
5,6,6,1,0.222635071631
5,6,6,2,0.188452086618
5,6,6,3,0.181752989532
5,6,6,4,0.175000122950
5,6,6,5,0.158613547308
5,6,6,6,0.091434161499
5,6,7,1,0.219878027060
5,6,7,2,0.185395822241
5,6,7,3,0.179812704175
5,6,7,4,0.177800418340
5,6,7,5,0.170498685708
5,6,7,6,0.152202601092
5,6,7,7,0.084242417304
5,6,8,1,0.217660813918
5,6,8,2,0.182619724530
5,6,8,3,0.177234602211
5,6,8,4,0.176710883523
5,6,8,5,0.175179553363
5,6,8,6,0.166572879208
5,6,8,7,0.146262368942
5,6,8,8,0.078243935228
5,6,9,1,0.214952899012
5,6,9,2,0.180173180674
5,6,9,3,0.175165184585
5,6,9,4,0.176173701892
5,6,9,5,0.175576915753
5,6,9,6,0.173432908705
5,6,9,7,0.162190747085
5,6,9,8,0.140559129832
5,6,9,9,0.071473759648
5,6,10,1,0.220563747019
5,6,10,2,0.181100462432
5,6,10,3,0.174881209928
5,6,10,4,0.178208731050
5,6,10,5,0.181331341324
5,6,10,6,0.176097737587
5,6,10,7,0.168947009262
5,6,10,8,0.133781726576
5,6,10,9,0.089912961565
5,6,10,10,0.040991067224
5,6,11,1,0.220130341576
5,6,11,2,0.185382025521
5,6,11,3,0.179808621329
5,6,11,4,0.176431814519
5,6,11,5,0.173875339949
5,6,11,6,0.172986593044
5,6,11,7,0.164143845547
5,6,11,8,0.135324396884
5,6,11,9,0.097304702440
5,6,11,10,0.046797061310
5,6,11,11,0.043326278724
5,6,12,1,1.868989348561
5,6,12,2,2.091555731431
5,6,12,3,2.875054400891
5,6,12,4,1.274448807998
5,6,12,5,1.237278804040
5,6,12,6,1.113100566032
5,6,12,7,1.166484948279
5,6,12,8,2.734673283861
5,6,12,9,2.215278265652
5,6,12,10,2.589525343179
5,6,12,11,0.057224208837
5,6,12,12,0.057224208837
5,7,2,1,1.798318109075
5,7,2,2,2.993041810630
5,7,3,1,0.231190766944
5,7,3,2,2.955181869165
5,7,3,3,1.445046113294
5,7,4,1,0.228516833492
5,7,4,2,0.191690725384
5,7,4,3,0.172332179070
5,7,4,4,0.110693958724
5,7,5,1,0.225654896746
5,7,5,2,0.190828082927
5,7,5,3,0.179952978224
5,7,5,4,0.163455553099
5,7,5,5,0.099531484406
5,7,6,1,0.222875792048
5,7,6,2,0.188155448650
5,7,6,3,0.180890144763
5,7,6,4,0.173728817154
5,7,6,5,0.156180285716
5,7,6,6,0.090661445002
